provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
host of,,hostOf,http://purl.obolibrary.org/obo/RO_0002453
parasitoid of,,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
